time,"Altitude (GPS) (feet)","Average fuel consumption (total) (MPG)","Average speed (mph)","Average speed (GPS) (mph)","Calculated instant fuel rate (gal./h)","Distance to empty (miles)","Distance travelled (miles)","Distance travelled (total) (miles)","Engine Fuel Rate (g/sec)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel level input (%) (%)","Fuel level input (V) (gallon)","Fuel used (gallon)","Fuel used (total) (gallon)","Fuel used price ($)","Fuel used price (total) ($)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℉)","Speed (GPS) (mph)","Throttle position (%)","Vehicle acceleration (g)","Vehicle Fuel Rate (g/sec)","Vehicle speed (mph)",Latitude,Longtitude,
17:56:20.433,,,,0,,,,,,,,,,,,,,,,0,,,,,33.7075174,-112.1902321,
17:56:20.440,1291.99475195068,,,,,,,,,,,,,,,,,,,,,,,,33.7075174,-112.1902321,
17:56:20.443,1291.99475195068,,,0,,,,,,,,,,,,,,,,0,,,,,33.7075174,-112.1902321,
17:56:20.445,1291.99475195068,,,0.00131022612188479,,,,,,,,,,,,,,,,0.766555211355452,,,,,33.7075174,-112.1902321,
17:56:20.451,1291.99475195068,,,,,,,,,,,,,,,,,,,,,,,,33.7075174,-112.1902321,
17:56:21.070,,,,0.000995403043029599,,,,,,,,,,,,,,,,0,,,,,33.7075174,-112.1902321,
17:56:21.071,1281.07650731201,,,,,,,,,,,,,,,,,,,,,,,,33.7075174,-112.1902321,
17:56:21.076,1281.07650731201,,,0.000992933339997766,,,,,,,,,,,,,,,,0,,,,,33.7075104,-112.19022648,
17:56:21.084,1291.99475195068,,,0.00313668454302318,,,,,,,,,,,,,,,,0.564183949165542,,,,,33.7075104,-112.19022648,
17:56:21.900,1245.87516065674,,,0.00227764716195529,,,,,,,,,,,,,,,,0,,,,,33.7075104,-112.19022648,
17:56:21.902,1245.87516065674,,,0.00227609750716037,,,,,,,,,,,,,,,,0,,,,,33.7075104,-112.19022648,
17:56:21.903,1291.99475195068,,,0.00234637070350026,,,,,,,,,,,,,,,,0.302868434571332,,,,,33.70753251,-112.19022331,
17:56:22.143,1292.32285597534,,,0.00217140582482421,,,,,,,,,,,,,,,,0,,,,,33.70753251,-112.19022331,
17:56:22.145,1292.32285597534,,,0.00216959493155134,,,,,,,,,,,,,,,,0,,,,,33.7075107,-112.1902399,
17:56:22.146,1292.32285597534,,,,,,,,,,,,,,,,,,,,,,,,33.7075107,-112.1902399,
17:56:22.607,,,,,,,,,,,,,,,,,,,,,,,,0,33.7075107,-112.1902399,
17:56:22.686,,,,,,,,,,1409,1.4,,,,,,,,,,,,,,33.7075107,-112.1902399,
17:56:22.785,,,,,,,,,,,,72,8.5679982927931,,,,,,,,,,,,33.7075107,-112.1902399,
17:56:22.856,1322.29786696289,,,0.00177775214256342,,,,,,,,,,,,,,,,0,,,,,33.7075107,-112.1902399,
17:56:22.859,1322.29786696289,,,0.00177643302756474,,,,,,,,,,,,,,,,0,,,,,33.70749906,-112.19013711,
17:56:22.864,,,,,1.53726421051253,,,,1.18,,,,,,,,,22.76577628446,,,,,1.18,,33.70749906,-112.19013711,
17:56:22.878,1292.32285597534,,,0.0114101238511037,,,,,,,,,,,,,,,,2.03309238021,,,,,33.70749906,-112.19013711,
17:56:23.033,,,,,,,,,,,,,,,,,,,,,22.7450980392157,,,,33.70749906,-112.19013711,
17:56:23.144,,,,,,,,,,,,,,,,,,,84.2,,,,,,33.70749906,-112.19013711,
17:56:23.227,,,,,,,0,87.3514898415648,,,,,,,,,,,,,,,,0,33.70749906,-112.19013711,
17:56:23.320,,,,,,,,,,1419,1.4,,,,,,,,,,,,,,33.70749906,-112.19013711,
17:56:23.387,,,,,,,,,,,,72,8.5679982927931,,,,,,,,,,,,33.70749906,-112.19013711,
17:56:23.452,,33.2335641597042,,,1.64148551292016,284.744673013601,,,1.26,,,,,0.0002662587474624,2.62841586434073,0.00114491261408832,11.3,24.3092187444234,,,,,1.26,,33.70749906,-112.19013711,
17:56:23.559,,,,,,,,,,,,,,,,,,,,,23.1372549019608,,,,33.70749906,-112.19013711,
17:56:23.635,,,,,,,,,,,,,,,,,,,84.2,,,,,,33.70749906,-112.19013711,
17:56:23.784,,,0,,,,0,87.3514898415648,,,,,,,,,,,,,,,,0,33.70749906,-112.19013711,
17:56:23.818,,,,,,,,,,1411,1.4,,,,,,,,,,,,,,33.70749906,-112.19013711,
17:56:23.838,1291.99475195068,,,,,,,,,,,,,,,,,,,,,,,,33.7076534,-112.1903529,
17:56:23.839,1291.99475195068,,,0.00930116908916947,,,,,,,,,,,,,,,,0,,,,,33.7076534,-112.1903529,
17:56:23.852,,,,,,,,,,,,72,8.5679982927931,,,,,,,,,,,,33.7076534,-112.1903529,
