time,"Altitude (GPS) (feet)","Average fuel consumption (MPG)","Average fuel consumption (total) (MPG)","Average fuel consumption 10 sec (MPG)","Average speed (mph)","Average speed (GPS) (mph)","Calculated instant fuel consumption (MPG)","Calculated instant fuel rate (gal./h)","Distance to empty (miles)","Distance travelled (miles)","Distance travelled (total) (miles)","Engine Fuel Rate (g/sec)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel level input (%) (%)","Fuel level input (V) (gallon)","Fuel used (gallon)","Fuel used (total) (gallon)","Fuel used price ($)","Fuel used price (total) ($)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℉)","Speed (GPS) (mph)","Throttle position (%)","Vehicle acceleration (g)","Vehicle Fuel Rate (g/sec)","Vehicle speed (mph)",Latitude,Longtitude,
11:00:09.513,1248.4777654834,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.65865745,-112.11647419,
11:00:10.200,1315.41779489746,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,33.65865745,-112.11647419,
11:00:10.202,1315.41779489746,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.65860447,-112.11648025,
11:00:10.203,1315.41779489746,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,33.65860447,-112.11648025,
11:00:10.214,1268.04466,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,33.65860447,-112.11648025,
11:00:11.205,1257.17447454102,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.65870243,-112.11628073,
11:00:11.206,1257.17447454102,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,33.65870243,-112.11628073,
11:00:11.212,1268.04466,,,,,0.000880139690377708,,,,,,,,,,,,,,,,,,1.13952790274309,,,,,33.65870243,-112.11628073,
11:00:12.208,1232.91219816895,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.65868472,-112.11627579,
11:00:12.211,1232.91219816895,,,,,0.000816064088715507,,,,,,,,,,,,,,,,,,0,,,,,33.65868472,-112.11627579,
11:00:12.216,1268.04466,,,,,0.00208535463312184,,,,,,,,,,,,,,,,,,1.86477765792937,,,,,33.65868472,-112.11627579,
11:00:13.214,1246.8751920874,,,,,0.00184957373784243,,,,,,,,,,,,,,,,,,0,,,,,33.65868472,-112.11627579,
11:00:13.216,1246.8751920874,,,,,0.00184904531090082,,,,,,,,,,,,,,,,,,0,,,,,33.65870193,-112.11628175,
11:00:13.224,1268.04466,,,,,0.00324181581143503,,,,,,,,,,,,,,,,,,1.68376121571342,,,,,33.65870193,-112.11628175,
11:00:14.211,1233.91182910645,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.65870546,-112.11626978,
11:00:14.213,1233.91182910645,,,,,0.00291507119539082,,,,,,,,,,,,,,,,,,0,,,,,33.65870546,-112.11626978,
11:00:14.214,1233.91182910645,,,,,0.00291495098893755,,,,,,,,,,,,,,,,,,0,,,,,33.65870546,-112.11626978,
11:00:14.218,1268.04466,,,,,0.00370769427343119,,,,,,,,,,,,,,,,,,2.02654552250653,,,,,33.65870546,-112.11626978,
11:00:15.207,1251.63545383545,,,,,0.00336860513522785,,,,,,,,,,,,,,,,,,0,,,,,33.65870546,-112.11626978,
11:00:15.210,1251.63545383545,,,,,0.00336750716527471,,,,,,,,,,,,,,,,,,0,,,,,33.65868721,-112.11628868,
11:00:15.215,1268.04466,,,,,0.00419027520179584,,,,,,,,,,,,,,,,,,1.98078405114695,,,,,33.65868721,-112.11628868,
11:00:15.372,,,,,,0.00413005528306197,,,,,,,,,,,,,,,,,,0,,,,,33.65868721,-112.11628868,
11:00:15.373,1268.70076792603,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.65868721,-112.11628868,
11:00:15.377,1268.70076792603,,,,,0.00412826000783625,,,,,,,,,,,,,,,,,,0,,,,,33.65868721,-112.11628868,
11:00:16.207,1256.10155335449,,,,,0.608576356247512,,,,,,,,,,,,,,,,,,8.61220451107858,,,,,33.65868721,-112.11628868,
11:00:16.212,1256.10155335449,,,,,0.611717757249041,,,,,,,,,,,,,,,,,,8.61220451107858,,,,,33.65868384,-112.11626038,
11:00:16.219,1268.70076792603,,,,,0.616569595086612,,,,,,,,,,,,,,,,,,8.60989787105841,,,,,33.65868384,-112.11626038,
11:00:16.287,1268.70076792603,,,,,0.613012770225145,,,,,,,,,,,,,,,,,,0,,,,,33.65868384,-112.11626038,
11:00:16.288,1268.70076792603,,,,,0.612981799024399,,,,,,,,,,,,,,,,,,0,,,,,33.65868384,-112.11626038,
11:00:17.135,1269.02887195068,,,,,0.572215967495617,,,,,,,,,,,,,,,,,,0,,,,,33.65868384,-112.11626038,
